duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
1,5,4,5,none,40,empl_contr,10,2,yes,11,average,yes,full,yes,full,good
2,4.5,5.8,5,none,35,ret_allw,10,4,yes,11,below_average,yes,full,yes,full,good
2,4.5,4,5,none,38,empl_contr,10,5,yes,11,generous,yes,half,yes,half,good
3,3.7,4,5,tc,40,empl_contr,10,4,yes,11,generous,yes,full,yes,full,good
3,4.5,4.5,5,none,40,empl_contr,10,4,yes,12,average,yes,half,yes,half,good
2,2,2.5,5,none,35,empl_contr,10,6,yes,12,average,yes,full,yes,full,good
3,4,5,5,tc,40,empl_contr,10,4,yes,12,generous,yes,none,yes,half,good
3,6.9,4.8,2.3,none,40,empl_contr,10,3,yes,12,below_average,yes,full,yes,full,good
2,3,7,5,none,38,empl_contr,12,25,yes,11,below_average,yes,half,yes,full,good
1,5.7,4,5,none,40,empl_contr,10,4,yes,11,generous,yes,full,yes,full,good
3,3.5,4,4.6,none,36,empl_contr,10,3,yes,13,generous,yes,full,yes,full,good
2,6.4,6.4,5,none,38,empl_contr,10,4,yes,15,generous,yes,full,yes,full,good
2,3.5,4,2,none,40,none,2,2,no,10,below_average,no,half,yes,half,bad
3,3.5,4,5.1,tcf,37,empl_contr,10,4,yes,13,generous,yes,full,yes,full,good
1,3,4,5,none,36,empl_contr,10,10,no,11,generous,yes,full,yes,full,good
2,4.5,4,5,none,37,empl_contr,10,4,yes,11,average,yes,full,yes,full,good
1,2.8,4,5,none,35,empl_contr,10,2,yes,12,below_average,yes,full,yes,full,good
1,2.1,2.5,2,tc,40,ret_allw,2,3,no,9,below_average,yes,half,yes,none,bad
1,2,2.5,2,none,38,none,2,3,yes,11,average,no,none,no,none,bad
2,4,5,5,tcf,35,empl_contr,13,5,yes,15,generous,yes,full,yes,full,good
2,4.3,4.4,5,none,38,empl_contr,10,4,yes,12,generous,yes,full,yes,full,good
2,2.5,3,2,none,40,none,2,3,no,11,below_average,no,half,yes,none,bad
3,3.5,4,4.6,tcf,27,empl_contr,10,4,yes,11,generous,yes,full,yes,full,good
2,4.5,4,5,none,40,empl_contr,10,4,yes,10,generous,yes,half,yes,full,good
1,6,4,5,none,38,empl_contr,8,3,yes,9,generous,yes,full,yes,full,good
3,2,2,2,none,40,none,2,3,no,10,below_average,no,half,yes,full,bad
2,4.5,4.5,5,tcf,40,empl_contr,10,4,yes,10,below_average,yes,none,yes,half,good
2,3,3,5,none,33,empl_contr,10,4,yes,12,generous,yes,full,yes,full,good
2,5,4,5,none,37,empl_contr,10,5,no,11,below_average,yes,full,yes,full,good
3,2,2.5,2,none,35,none,2,3,no,10,average,no,half,yes,full,bad
3,4.5,4.5,5,none,40,empl_contr,10,4,no,11,average,yes,half,yes,full,good
3,3,2,2.5,tc,40,none,2,5,no,10,below_average,yes,half,yes,full,bad
2,2.5,2.5,2,none,38,empl_contr,2,3,no,10,average,no,half,yes,none,bad
2,4,5,2,none,40,none,2,3,no,10,below_average,no,none,yes,none,bad
3,2,2.5,2.1,tc,40,none,2,1,no,10,below_average,no,half,yes,full,bad
2,2,2,2,none,40,none,2,3,no,11,average,yes,none,yes,full,bad
1,2,2.5,2,tc,40,ret_allw,4,0,no,11,generous,no,none,no,none,bad
1,2.8,2.5,2,none,38,empl_contr,2,3,no,9,below_average,yes,half,yes,none,bad
3,2,2.5,2,none,37,empl_contr,2,3,no,10,average,no,half,yes,none,bad
2,4.5,4,5,none,40,empl_contr,10,4,yes,12,average,yes,full,yes,half,good
1,4,2.5,2,none,40,none,2,3,yes,11,average,no,none,no,none,bad
2,2,3,2,none,38,empl_contr,2,3,yes,12,generous,yes,none,yes,full,bad
2,2.5,2.5,2,tc,39,empl_contr,2,3,no,12,average,no,half,yes,none,bad
2,2.5,3,2,tcf,40,none,2,3,no,11,below_average,no,half,yes,none,bad
2,4,4,2,none,40,none,2,3,no,10,below_average,no,none,yes,none,bad
2,4.5,4,2,none,40,none,2,2,no,10,below_average,no,half,yes,half,bad
2,4.5,4,5,none,40,empl_contr,10,5,yes,11,average,yes,full,yes,full,good
2,4.6,4.6,5,tcf,38,empl_contr,10,4,yes,11,generous,yes,half,yes,half,good
2,5,4.5,5,none,38,empl_contr,14,5,yes,11,below_average,yes,full,yes,full,good
2,5.7,4.5,5,none,40,ret_allw,10,4,yes,11,average,yes,full,yes,full,good
2,7,5.3,5,none,40,empl_contr,10,4,yes,11,generous,yes,full,yes,full,good
3,2,3,5,tcf,40,empl_contr,10,4,yes,11,generous,yes,half,yes,full,good
3,3.5,4,4.5,tcf,35,empl_contr,10,4,yes,13,generous,yes,full,yes,full,good
3,4,3.5,5,none,40,empl_contr,10,6,yes,11,average,yes,full,yes,full,good
3,5,4.4,5,none,38,empl_contr,10,6,yes,11,generous,yes,full,yes,full,good
3,5,5,5,none,40,empl_contr,10,4,yes,12,average,yes,half,yes,half,good
3,6,6,4,none,35,empl_contr,10,14,yes,9,generous,yes,full,yes,full,good
