duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
0.0,0.6,0.4,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,-0.6756369831834373,yes,0.33333333333333326,average,yes,full,yes,full,good
0.5,0.5,0.7599999999999999,0.9677419354838712,none,0.6153846153846154,ret_allw,0.6666666666666666,-0.08315532100719229,yes,0.33333333333333326,below_average,yes,full,yes,full,good
0.5,0.5,0.4,0.9677419354838712,none,0.8461538461538463,empl_contr,0.6666666666666666,0.21308551008093024,yes,0.33333333333333326,generous,yes,half,yes,half,good
1.0,0.3400000000000001,0.4,0.9677419354838712,tc,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.33333333333333326,generous,yes,full,yes,full,good
1.0,0.5,0.5,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.5,average,yes,half,yes,half,good
0.5,0.0,0.09999999999999998,0.9677419354838712,none,0.6153846153846154,empl_contr,0.6666666666666666,0.5093263411690527,yes,0.5,average,yes,full,yes,full,good
1.0,0.4,0.6,0.9677419354838712,tc,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.5,generous,yes,none,yes,half,good
1.0,0.9800000000000001,0.5599999999999999,0.09677419354838701,none,1.0,empl_contr,0.6666666666666666,-0.3793961520953148,yes,0.5,below_average,yes,full,yes,full,good
0.5,0.20000000000000007,1.0,0.9677419354838712,none,0.8461538461538463,empl_contr,0.8333333333333334,6.137902131843381,yes,0.33333333333333326,below_average,yes,half,yes,full,good
0.0,0.7400000000000001,0.4,0.9677419354838712,none,1.0,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.33333333333333326,generous,yes,full,yes,full,good
1.0,0.30000000000000004,0.4,0.8387096774193548,none,0.6923076923076921,empl_contr,0.6666666666666666,-0.3793961520953148,yes,0.6666666666666665,generous,yes,full,yes,full,good
0.5,0.8800000000000002,0.8800000000000002,0.9677419354838712,none,0.8461538461538463,empl_contr,0.6666666666666666,-0.08315532100719229,yes,1.0,generous,yes,full,yes,full,good
0.5,0.30000000000000004,0.4,0.0,none,1.0,none,0.0,-0.6756369831834373,no,0.16666666666666652,below_average,no,half,yes,half,bad
1.0,0.30000000000000004,0.4,1.0,tcf,0.7692307692307692,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.6666666666666665,generous,yes,full,yes,full,good
0.0,0.20000000000000007,0.4,0.9677419354838712,none,0.6923076923076921,empl_contr,0.6666666666666666,1.694289665521543,no,0.33333333333333326,generous,yes,full,yes,full,good
0.5,0.5,0.4,0.9677419354838712,none,0.7692307692307692,empl_contr,0.6666666666666666,-0.08315532100719229,yes,0.33333333333333326,average,yes,full,yes,full,good
0.0,0.15999999999999992,0.4,0.9677419354838712,none,0.6153846153846154,empl_contr,0.6666666666666666,-0.6756369831834373,yes,0.5,below_average,yes,full,yes,full,good
0.0,0.020000000000000018,0.09999999999999998,0.0,tc,1.0,ret_allw,0.0,-0.3793961520953148,no,0.0,below_average,yes,half,yes,none,bad
0.0,0.0,0.09999999999999998,0.0,none,0.8461538461538463,none,0.0,-0.3793961520953148,yes,0.33333333333333326,average,no,none,no,none,bad
0.5,0.4,0.6,0.9677419354838712,tcf,0.6153846153846154,empl_contr,0.9166666666666666,0.21308551008093024,yes,1.0,generous,yes,full,yes,full,good
