media	url	client	reposts	comments	gender	follower	friend	statues	age	verified	desc	type	species
0	1	2	1126	394	1	17955094	273	20793	1239	1	1	0	1
1	1	2	68	15	1	118713	1998	7219	932	1	1	0	1
1	1	1	15	8	1	13434	1963	4716	475	1	1	-1	1
1	0	1	276	73	1	759418	44	32181	500	1	1	-1	1
1	0	1	17	8	1	5994	1895	5869	422	1	1	220	1
0	0	1	10	6	1	53345	1436	28403	597	1	1	0	1
1	0	2	10	2	1	103977	158	510	137	1	1	-1	1
1	0	1	38	36	1	1667	781	10499	248	1	1	220	1
1	0	2	72	13	1	1627	1763	2053	1	1	1	-1	1
1	0	1	390	107	1	50334	834	2250	480	1	1	-1	1
1	0	1	5949	1725	1	13781	286	7104	411	1	1	220	1
0	0	2	2086	815	1	2824961	738	16212	986	1	0	0	1
1	0	2	40	27	1	13201705	397	62674	862	1	1	220	1
1	1	2	15	15	0	659847	519	44159	1317	1	1	3	1
1	0	1	32	13	1	12152300	199	86014	1150	1	1	-1	1
1	0	2	17	4	1	63679	2885	9928	1192	1	1	0	1
1	0	2	213	92	1	2288541	281	14855	1782	1	1	-1	1
1	0	2	4108	1777	1	148014	192	7954	1366	1	1	0	1
1	0	1	102	19	1	384028	698	2417	562	1	1	0	1
1	0	1	27	10	0	25683	967	12084	217	1	1	-1	1
1	0	1	111	36	0	163058	1577	15560	217	1	1	-1	1
1	0	1	437	82	0	138933	900	11019	356	1	1	3	1
0	0	1	439	68	0	104797	2738	23726	215	1	1	0	1
1	0	1	40	14	0	684258	1816	14846	62	1	1	-1	1
1	0	1	119	14	0	2107	1034	969	118	1	1	5	1
1	0	1	245	41	0	1135621	1781	17098	63	1	1	-1	1
1	0	1	12	3	0	131	127	359	37	1	1	-1	1
0	0	1	18	5	1	642	525	3442	371	1	1	-1	1
0	0	1	22	4	1	10197	379	265	123	1	1	-1	1
1	0	1	135	74	1	246901	456	14986	614	1	1	0	1
0	0	1	23	7	0	279	152	2263	130	1	1	-1	1
0	0	2	308	55	1	6959	92	13111	395	1	1	-1	1
0	0	1	20	6	1	7613	1969	4732	83	1	1	-1	1
0	0	1	37	11	1	1541	513	2963	335	1	1	0	1
0	0	1	60	13	1	53143	40	2400	354	1	1	-1	1
0	0	1	43	28	1	28773	316	3280	353	1	1	-1	1
0	0	1	12	4	1	1174	564	2171	289	1	1	220	1
0	0	1	10	1	1	2959	597	10036	364	1	1	220	1
0	0	1	17	14	1	5858	578	15562	220	1	1	220	1
0	0	1	13	2	1	403	469	3139	256	1	0	220	1
0	0	1	96	36	1	314686	982	14594	616	1	1	0	1
0	0	1	20	7	1	835	225	468	11	1	1	-1	1
0	0	1	76	13	1	550	982	415	245	1	1	220	1
0	0	1	30	24	1	12227	146	2421	628	1	1	0	1
1	0	1	15	5	0	11137	1743	1164	364	1	1	0	1
1	1	1	20	9	1	1958	1546	239	596	1	1	-1	1
0	0	1	11	6	0	255	121	1223	91	1	1	-1	1
0	0	1	13	6	1	47628	1056	5893	292	1	1	220	1
0	0	1	10	1	1	628	216	1111	577	1	1	-1	1
0	0	1	10	2	1	866	431	1968	374	1	1	220	1
1	1	1	242	22	1	713	22	759	1286	1	1	-1	0
1	0	1	101	41	0	506012	595	95461	1664	1	1	3	0
1	0	2	360	43	0	1255393	1458	13899	1004	1	1	220	0
1	0	1	178	20	1	561262	535	12834	905	1	1	3	0
1	0	2	1855	343	1	5117334	2199	51022	1957	1	1	3	0
1	0	1	269	78	0	2587045	95	15031	1340	1	1	-1	0
1	0	1	183	35	1	239337	449	4744	1241	1	1	-1	0
